site,farm,articles_selector,contents_selector,content_hl,content_link,content_img
http://tmz.com,zergnet,div.featured-stories-widget div.news a,div.zergentity,div.zergheadline,a !href,img !src
http://worldstarhiphop.com/videos/,revcontent,div.slide a,div.rc-row div.rc-item div.rc-item-wrapper,a.rc-cta !title,a.rc-cta !href,div.rc-photo !style
http://www.infowars.com/,revcontent,section.featured-stories div.article-content h3 a,div.rc-row div.rc-item div.rc-item-wrapper,a.rc-cta !title,a.rc-cta !href,div.rc-photo !style
http://www.rt.com,taboola,ul.main-promobox__list li div.main-promobox__heading a,"div.trc_rbox_container div[data-item-syndicated=""true""]",a.item-thumbnail-href !title,a.item-thumbnail-href !href,!data-item-thumb
http://www.breitbart.com,taboola,div.featured article.post h2.title a,"div.trc_rbox_container div[data-item-syndicated=""true""]",a.item-thumbnail-href !title,a.item-thumbnail-href !href,!data-item-thumb
http://www.ibtimes.com/,revcontent,div.feature div.small div.info h3 a ,div.rc-row div.rc-item div.rc-item-wrapper,a.rc-cta !title,a.rc-cta !href,div.rc-photo !style
http://www.businessinsider.com/,taboola,div.river h2.feature-post a.title,"div.trc_rbox_container div[data-item-syndicated=""true""]",a.item-thumbnail-href !title,a.item-thumbnail-href !href,!data-item-thumb
https://downtrend.com/,revcontent,div#main-content article.grid a.center,div.rc-row div.rc-item div.rc-item-wrapper,a.rc-cta !title,a.rc-cta !href,div.rc-photo !style
http://www.huffingtonpost.com/,taboola,div.bn-zone div.card--media-left div.card__headlines h2.card__headline a,"div.trc_rbox_container div[data-item-syndicated=""true""]",a.item-thumbnail-href !title,a.item-thumbnail-href !href,!data-item-thumb
http://www.politico.com/magazine/,outbrain,div#superLatest figure.thumb div.fig-graphic a,li.ob-dynamic-rec-container,span.ob-rec-text,a.ob-dynamic-rec-link !href,img.ob-rec-image !src
http://www.thedailybeast.com/,outbrain,section.CheatSheet ol.CheatSheet__items li.CheatSheetItem a.CheatSheetItem__link,li.ob-dynamic-rec-container,span.ob-rec-text,a.ob-dynamic-rec-link !href,img.ob-rec-image !src
http://www.politico.com/politics,taboola,section.headlines-latest article.story-frag div.summary header h3 a,"div.trc_rbox_container div[data-item-syndicated=""true""]",a.item-thumbnail-href !title,a.item-thumbnail-href !href,!data-item-thumb
http://www.dailymail.co.uk/,taboola,ul.link-bogr2 li a,"div.trc_rbox_container div[data-item-syndicated=""true""]",a.item-thumbnail-href !title,a.item-thumbnail-href !href,!data-item-thumb
http://elitedaily.com/,zergnet,article.nda-article-card header.nda-article-card__titledesc h2 a,div.zergentity,div.zergheadline,a !href,img !src
http://reductress.com/,taboola,section.popular-posts ul.wpp-list li a.wpp-post-title,"div.trc_rbox_container div[data-item-syndicated=""true""]",a.item-thumbnail-href !title,a.item-thumbnail-href !href,!data-item-thumb
https://www.washingtonpost.com/,outbrain,div#post-most-rr ul.def-feed li a,li.ob-dynamic-rec-container,span.ob-rec-text,a.ob-dynamic-rec-link !href,img.ob-rec-image !src
http://thehill.com,outbrain,div.left-sidebar div.view-display-id-articles_just_in div.view-content div.item-list li div.views-field-title span.field-content a,li.ob-dynamic-rec-container,span.ob-rec-text,a.ob-dynamic-rec-link !href,img.ob-rec-image !src
https://www.therebel.media/news,taboola,section#subpage-blog article.row div.post-content h5 a,"div.trc_rbox_container div[data-item-syndicated=""true""]",a.item-thumbnail-href !title,a.item-thumbnail-href !href,!data-item-thumb
https://nypost.com/news/,outbrain,div.article-loop article.article header.entry-header h3 a,li.ob-dynamic-rec-container,span.ob-rec-text,a.ob-dynamic-rec-link !href,img.ob-rec-image !src
http://observer.com/latest/,outbrain,section#loopwrapper article div.entry a,li.ob-dynamic-rec-container,span.ob-rec-text,a.ob-dynamic-rec-link !href,img.ob-rec-image !src
http://www.nydailynews.com/news,taboola,div.r-left div.rtw a.rt,"div.trc_rbox_container div[data-item-syndicated=""true""]",a.item-thumbnail-href !title,a.item-thumbnail-href !href,!data-item-thumb
